total_lag,max_lag,min_lag,mean_lag,std_lag,lag_cv,total_throughput,throughput_cv,throughput_std,mean_commit_gap,max_commit_gap,max_partition_share,active_ratio,num_partitions,label
1,1,1,1.0,0.0,0.0,9.978781756140675,0.0,0.0,1.0,1,0.9999999998997874,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.978728339651864,0.0,0.0,1.0,1,0.9999999998997868,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.979052408473395,0.0,0.0,1.0,1,0.99999999989979,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.978655931546719,0.0,0.0,1.0,1,0.999999999899786,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.97705728589952,0.0,0.0,1.0,1,0.9999999998997701,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1,commit_failure
2,2,2,2.0,0.0,0.0,9.501213697091885,0.0,0.0,2.0,2,0.9999999998947503,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979074963497172,0.0,0.0,3.0,3,0.9999999998997903,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.980809631520891,0.0,0.0,3.0,3,0.9999999998998077,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979718418169861,0.0,0.0,3.0,3,0.9999999998997967,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.980110230108862,0.0,0.0,3.0,3,0.9999999998998007,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.980242028312185,0.0,0.0,3.0,3,0.999999999899802,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979751661624807,0.0,0.0,3.0,3,0.999999999899797,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.980258651756216,0.0,0.0,3.0,3,0.9999999998998021,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.980423701812075,0.0,0.0,3.0,3,0.9999999998998038,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.980126853113841,0.0,0.0,3.0,3,0.9999999998998008,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979940441158012,0.0,0.0,3.0,3,0.999999999899799,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.980160099289924,0.0,0.0,3.0,3,0.9999999998998012,1.0,1,commit_failure
2,2,2,2.0,0.0,0.0,9.485840119126832,0.0,0.0,2.0,2,0.9999999998945797,1.0,1,commit_failure
2,2,2,2.0,0.0,0.0,9.98480130102482,0.0,0.0,2.0,2,0.9999999998998478,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979884637659366,0.0,0.0,3.0,3,0.9999999998997985,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.98015416245652,0.0,0.0,3.0,3,0.9999999998998012,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.978003119029973,0.0,0.0,3.0,3,0.9999999998997795,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.982233673483716,0.0,0.0,3.0,3,0.999999999899822,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979856142496496,0.0,0.0,3.0,3,0.9999999998997982,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979530834253529,0.0,0.0,3.0,3,0.9999999998997949,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.978866036652663,0.0,0.0,3.0,3,0.9999999998997882,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.98192959037311,0.0,0.0,3.0,3,0.9999999998998189,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979704171042682,0.0,0.0,3.0,3,0.9999999998997966,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.985394383777505,0.0,0.0,3.0,3,0.9999999998998538,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979185365873969,0.0,0.0,3.0,3,0.9999999998997914,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.975567102231688,0.0,0.0,3.0,3,0.9999999998997551,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.984683643683562,0.0,0.0,4.0,4,0.9999999998998466,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.980627943970712,0.0,0.0,4.0,4,0.9999999998998059,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.977999558468648,0.0,0.0,4.0,4,0.9999999998997795,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.97700626110483,0.0,0.0,4.0,4,0.9999999998997695,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.980263401321825,0.0,0.0,4.0,4,0.9999999998998023,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.980113792176695,0.0,0.0,4.0,4,0.9999999998998007,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.979953501641434,0.0,0.0,4.0,4,0.9999999998997992,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.97996418751693,0.0,0.0,4.0,4,0.9999999998997993,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.979454852901743,0.0,0.0,4.0,4,0.9999999998997942,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.481294224332249,0.0,0.0,3.0,3,0.9999999998945291,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.98040114069097,0.0,0.0,3.0,3,0.9999999998998036,1.0,1,commit_failure
